timestamp,cpu_usr,cpu_sys,cpu_iowait,cpu_steal,cpu_idle,network_ifutil,memory_memused,memory_commit,disk_util,paging_vmeff
3.22,2.83,0.13,0.03,0.03,96.99,0,98.73,74.39,0.08,0
3.23,5.24,0.86,29.69,0.2,63.92,0,98.87,74.39,6.96,100
3.24,7.6,0.81,18.84,0.15,72.53,0,98.77,74.48,1.84,0
3.25,12.75,0.71,3.81,0.05,82.63,0,98.91,74.48,1.36,100
3.26,12.48,0.97,40.4,0.36,45.66,0,98.9,74.49,2.08,0
3.27,13.13,0.76,29.19,0.2,56.63,0,98.87,74.44,0.56,0
3.28,1.56,0.08,0.03,0.03,98.27,0.1,98.84,74.44,0,0
3.29,15.09,0.08,0,0,84.83,0,98.8,74.44,0,100
3.3,14.96,0.96,7.43,0.1,76.45,0,98.9,74.33,5.28,100
3.31,9.56,0.77,15.25,0.23,74.09,0,98.95,74.47,2.48,0
3.32,14.78,0.94,17.39,0.18,66.56,0,98.9,74.47,12.4,100
3.33,11.17,1,35.69,0.31,51.65,0,98.86,74.42,5.12,100
3.34,14.27,0.71,32.16,0.26,52.48,0,98.81,74.52,0,0
3.35,31.21,0.66,19.78,0.13,48.15,0.11,98.91,74.38,7.44,100
3.36,7.95,0.79,28.27,0.25,62.63,0,98.89,74.43,9.28,100
3.37,11.28,0.96,4.78,0.1,82.78,0,98.9,74.51,3.36,100
3.38,18.33,1.19,12.21,0.15,67.99,0,98.9,74.57,3.76,100
3.39,9.34,0.67,34.54,0.31,55.04,0,98.96,74.57,0.48,0
3.4,8.35,0.25,8.53,0.1,82.69,0.11,98.82,74.57,0.08,0
3.41,17.65,0.18,0.03,0,82.15,0.02,98.8,74.57,0.08,0
3.42,9.09,0.43,11.76,0.08,78.62,0,98.85,74.57,7.12,100
3.43,7.86,0.87,29.58,0.28,61.31,0,98.91,74.57,5.92,100
3.44,14.41,0.76,3.65,0.1,81.01,0,98.91,74.57,9.84,98.35
3.45,9.93,0.92,36.59,0.25,52.15,0,98.88,74.52,9.12,99.74
3.46,11.47,0.62,39.33,0.33,48.12,0,98.83,74.44,0.72,0
3.47,17.34,0.28,14.09,0.13,68.09,0.11,98.95,74.44,0.4,0
3.48,26.33,0.71,22.47,0.2,50.15,0.01,98.96,74.5,13.25,100
3.49,5.67,0.58,26.88,0.23,66.51,0,98.96,74.34,3.52,100
3.5,15.65,0.56,9.09,0.1,74.5,0,98.91,74.41,4.48,100
3.51,6.55,0.61,42.78,0.26,49.62,0.54,98.98,74.52,0,0
3.52,9.07,0.49,34.91,0.21,55.3,3.19,98.83,74.52,0,0
3.53,18.28,0.18,3.31,0.08,78.05,0.76,98.92,74.52,0,0
